publication_id,key
p21,PRJNA657834
p26´,(Zhou et al. 2019)
p29,(Liu et al. 2017)
p30,(Diouf et al. 2020)
p40,PRJNA869132
p1,(Wang et al. 2021)
p41,PRJNA800740
p43,(Nie et al. 2023)
p46,PRJNA746070
p22,"(T. Zhao et al. 2020, 2021)"
p10,(Wen et al. 2019)
p17,"(Almeida, Perez-Fons, and Fraser 2021)"
p18,(Batista et al. 2020)
p37,(Lopez-Delacalle et al. 2021)
p42,PRJNA753098
p36,(Jansma et al. 2022)
p38,PRJNA730730
p5,(Keller et al. 2017)
p32,(Kashyap et al. 2020)
p34,(Keshishian et al. 2018)
p44,PRJNA888477
p6,(Fragkostefanakis et al. 2016)
p45,(Mellidou et al. 2021)
none (data from Yunlong),data from IGZ
none (data from Robert),data from IPB
none (data from HUJI),data from HUJI